fq1	fq2
20251216P56WT1_R1_1-1-A13_S1_L001_R1_001.fastq.gz	20251216P56WT1_R1_1-1-A13_S1_L001_R2_001.fastq.gz
20251216P56WT1_R1_1-2-A13_S2_L001_R1_001.fastq.gz	20251216P56WT1_R1_1-2-A13_S2_L001_R2_001.fastq.gz
20251216P56WT1_R1_1-3-A13_S3_L001_R1_001.fastq.gz	20251216P56WT1_R1_1-3-A13_S3_L001_R2_001.fastq.gz
20251216P56WT1_R1_1-4-A13_S4_L001_R1_001.fastq.gz	20251216P56WT1_R1_1-4-A13_S4_L001_R2_001.fastq.gz
20251216P56WT1_R1_1-5-A13_S5_L001_R1_001.fastq.gz	20251216P56WT1_R1_1-5-A13_S5_L001_R2_001.fastq.gz
20251216P56WT1_R1_1-6-A13_S6_L001_R1_001.fastq.gz	20251216P56WT1_R1_1-6-A13_S6_L001_R2_001.fastq.gz
20251216P56WT2_R1_2-1-I4_S7_L001_R1_001.fastq.gz	20251216P56WT2_R1_2-1-I4_S7_L001_R2_001.fastq.gz
20251216P56WT2_R1_2-2-I4_S8_L001_R1_001.fastq.gz	20251216P56WT2_R1_2-2-I4_S8_L001_R2_001.fastq.gz
20251216P56WT2_R1_2-3-I4_S9_L001_R1_001.fastq.gz	20251216P56WT2_R1_2-3-I4_S9_L001_R2_001.fastq.gz
20251216P56WT2_R1_2-4-I4_S10_L001_R1_001.fastq.gz	20251216P56WT2_R1_2-4-I4_S10_L001_R2_001.fastq.gz
20251216P56WT2_R1_2-5-I4_S11_L001_R1_001.fastq.gz	20251216P56WT2_R1_2-5-I4_S11_L001_R2_001.fastq.gz
20251216P56WT2_R1_2-6-I4_S12_L001_R1_001.fastq.gz	20251216P56WT2_R1_2-6-I4_S12_L001_R2_001.fastq.gz
20251216P56WT3_R1_3-1-C9_S13_L001_R1_001.fastq.gz	20251216P56WT3_R1_3-1-C9_S13_L001_R2_001.fastq.gz
20251216P56WT3_R1_3-2-C9_S14_L001_R1_001.fastq.gz	20251216P56WT3_R1_3-2-C9_S14_L001_R2_001.fastq.gz
20251216P56WT3_R1_3-3-C9_S15_L001_R1_001.fastq.gz	20251216P56WT3_R1_3-3-C9_S15_L001_R2_001.fastq.gz
20251216P56WT3_R1_3-4-C9_S16_L001_R1_001.fastq.gz	20251216P56WT3_R1_3-4-C9_S16_L001_R2_001.fastq.gz
20251216P56WT3_R1_3-5-C9_S17_L001_R1_001.fastq.gz	20251216P56WT3_R1_3-5-C9_S17_L001_R2_001.fastq.gz
20251216P56WT3_R1_3-6-C9_S18_L001_R1_001.fastq.gz	20251216P56WT3_R1_3-6-C9_S18_L001_R2_001.fastq.gz
20251216P56WT4_R1_4-1-K2_S19_L001_R1_001.fastq.gz	20251216P56WT4_R1_4-1-K2_S19_L001_R2_001.fastq.gz
20251216P56WT4_R1_4-2-K2_S20_L001_R1_001.fastq.gz	20251216P56WT4_R1_4-2-K2_S20_L001_R2_001.fastq.gz
20251216P56WT4_R1_4-3-K2_S21_L001_R1_001.fastq.gz	20251216P56WT4_R1_4-3-K2_S21_L001_R2_001.fastq.gz
20251216P56WT4_R1_4-4-K2_S22_L001_R1_001.fastq.gz	20251216P56WT4_R1_4-4-K2_S22_L001_R2_001.fastq.gz
20251216P56WT4_R1_4-5-K2_S23_L001_R1_001.fastq.gz	20251216P56WT4_R1_4-5-K2_S23_L001_R2_001.fastq.gz
20251216P56WT4_R1_4-6-K2_S24_L001_R1_001.fastq.gz	20251216P56WT4_R1_4-6-K2_S24_L001_R2_001.fastq.gz
